360,The Revolution,Bellarmine Preparatory School,Auburn,Auburn,WA
488,Team Xbot,"Franklin High School, xbot robotics",Auburn,Auburn,WA
492,Titan Robotics Club,International School,Glacier Peak,Snohomish,WA
568,Nerds of the North,"Dimond High School, East High School, Bartlett High School, Steller Secondary School, Polaris K-12 School",Wilsonville,Wilsonville,AK
753,High Desert Droids,Mountain View Senior High School,Clackamus Academy,Oregon City,OR
847,PHRED,Philomath High School,Wilsonville,Wilsonville,OR
948,NRG (Newport Robotics Group),Newport Senior High School,Auburn,Auburn,WA
949,Wolverine Robotics,Bellevue High School,Glacier Peak,Snohomish,WA
955,CV Robotics,Crescent Valley High School,Wilsonville,Wilsonville,OR
957,SWARM,West Albany High School,Wilsonville,Wilsonville,OR
997,Spartan Robotics,Corvallis High School,Wilsonville,Wilsonville,OR
1258,SeaBot,Seattle Lutheran High School,Auburn,Auburn,WA
1294,Top Gun,Eastlake High School,Glacier Peak,Snohomish,WA
1318,Issaquah Robotics Society,Issaquah High School,Auburn Mountainview,Auburn,WA
1359,Scalawags,Venture Crew 308,Wilsonville,Wilsonville,OR
1425,Error Code Xero,Wilsonville High School,Wilsonville,Wilsonville,OR
1432,Metal Beavers,Explorer Post 89,Lake Oswego,Lake Oswego,OR
1510,Wildcats,Westview High School,Lake Oswego,Lake Oswego,OR
1540,Flaming Chickens,Catlin Gabel School,Lake Oswego,Lake Oswego,OR
1571,Team CALibrate,Center for Advanced Learning,Clackamus Academy,Oregon City,OR
1595,Dragons,Saint George's School,West Valley,Spokane,WA
1778,Chill Out,Mountlake Terrace High School,Glacier Peak,Snohomish,WA
1899,Saints Robotics,Interlake Senior High School,Glacier Peak,Snohomish,WA
1983,Skunk Works Robotics,Raisbeck Aviation High School,Auburn,Auburn,WA
2002,Tualatin Robotics,Tualatin High School,Lake Oswego,Lake Oswego,OR
2046,Bear Metal,Tahoma Senior High School,Auburn Mountainview,Auburn,WA
2147,CHUCK,West Valley High School,West Valley,Spokane,WA
2148,Mechaknights,East Valley High School&Extension,West Valley,Spokane,WA
2149,CV Bearbots,Central Valley High School,West Valley,Spokane,WA
2374,Crusader Bots,Jesuit High School,Lake Oswego,Lake Oswego,OR
2411,Rebel @lliance,Alliance High School,Lake Oswego,Lake Oswego,OR
2412,Robototes,Sammamish Senior High,Glacier Peak,Snohomish,WA
2471,Team Mean Machine,"Camas High School, Washougal High School, Hockinson High School",Lake Oswego,Lake Oswego,WA
2521,SERT,South Eugene High School,Wilsonville,Wilsonville,OR
2522,Royal Robotics,Lynnwood High School,Glacier Peak,Snohomish,WA
2550,Skynet,Clackamas Academy of Industrial Sciences,Clackamus Academy,Oregon City,OR
2555,RoboRams,Wilson,Auburn,Auburn,WA
2557,SOTAbots,Tacoma School of the Arts,Auburn,Auburn,WA
2605,Seahome Seamonsters,Sehome High School,Mount Vernon,Mount Vernon,WA
2635,Lake Monsters,"Lakeridge High School, Lake Oswego Senior High School",Lake Oswego,Lake Oswego,OR
2660,Pengbots,Marysville Arts and Technology High School,Mount Vernon,Mount Vernon,WA
2733,Pigmice,Cleveland High School,Lake Oswego,Lake Oswego,OR
2811,StormBots,Skyview High School,Lake Oswego,Lake Oswego,WA
2903,NeoBots,Arlington High School,Mount Vernon,Mount Vernon,WA
2906,Sentinel Prime Robotics,Spanaway Lake High School,Auburn Mountainview,Auburn,WA
2907,Lion Robotics,Auburn Mountainview High School,Auburn Mountainview,Auburn,WA
2910,Jack in the Bot,Henry M. Jackson High School,Glacier Peak,Snohomish,WA
2915,Riverdale Robotics,Riverdale High School,Lake Oswego,Lake Oswego,OR
2923,John Dere,Rosalia Elem & High School,West Valley,Spokane,WA
2926,Robo Sparks,Wapato High School,Central WA University,Ellensburg,WA
2927,Phi Rho Techs,Graham Kapowsin High School,Auburn Mountainview,Auburn,WA
2928,Viking Robotics,Ballard High School,Glacier Peak,Snohomish,WA
2929,JAGBOTS,Emerald Ridge High School,Auburn Mountainview,Auburn,WA
2930,Sonic Squirrels,Glacier Peak High School,Glacier Peak,Snohomish,WA
2942,Panda ER,Technology Engineering & Communications,Auburn,Auburn,WA
2944,Titanium Tigers,Lewis & Clark High School,West Valley,Spokane,WA
2976,Spartabots,Skyline High School,Glacier Peak,Snohomish,WA
2980,The Whidbey Island Wildcats,Oak Harbor High School,Mount Vernon,Mount Vernon,WA
2990,Hotwire,Hotwire Robotics,Wilsonville,Wilsonville,OR
3024,My Favorite Team,Ashland High School,Wilsonville,Wilsonville,OR
3049,BremerTron,Bremerton High School,Auburn,Auburn,WA
3070,Team Pronto,Shorewood High School,Glacier Peak,Snohomish,WA
3131,Gladiators,Gladstone High School,Lake Oswego,Lake Oswego,OR
3192,Tiger Bytes,Tigard High School,Lake Oswego,Lake Oswego,OR
3218,Panther Robotics,Bonney Lake high school,Auburn Mountainview,Auburn,WA
3219,TREAD,Auburn Senior High School,Auburn,Auburn,WA
3220,Mechanics of Mayhem,Liberty High School,West Valley,Spokane,WA
3221,KM Royals,Kent-Meridian High School,Auburn Mountainview,Auburn,WA
3223,Retrobotics,"Central Kitsap High School, Olympic High School, Klahowya Secondary",Glacier Peak,Snohomish,WA
3237,Bionic Braves,Bethel High School,Auburn Mountainview,Auburn,WA
3238,FRED,Anacortes High School,Mount Vernon,Mount Vernon,WA
3268,Vahallabots,Inglemoor HS,Glacier Peak,Snohomish,WA
3393,Horns of Havoc,Puyallup High School,Auburn Mountainview,Auburn,WA
3574,HIGH TEKERZ,Highline High School 4-H 3574 High Tekerz,Auburn,Auburn,WA
3575,OK Aggies,"Okanogan High School, Okanogan FFA",Central WA University,Ellensburg,WA
3576,Clover Park High School Warriers,Clover Park High School,Auburn,Auburn,WA
3586,Pride in the Tribe-Caveman Robotics,"Reardan High School, Reardan FFA",West Valley,Spokane,WA
3588,The Talon,Lindbergh Senior High School,Auburn Mountainview,Auburn,WA
3636,Generals,Grant High School,Lake Oswego,Lake Oswego,OR
3663,CPR - Cedar Park Robotics,Cedar Park Christian Schools,Glacier Peak,Snohomish,WA
3673,C.Y.B.O.R.G Seagulls,Seaside High School,Lake Oswego,Lake Oswego,OR
3674,4-H Clover Bots,Team 3674 4-H Clover Bots,Lake Oswego,Lake Oswego,WA
3681,Robo-Raiders,Nathan Hale High School,Glacier Peak,Snohomish,WA
3684,Electric Eagles,Cleveland High School,Auburn,Auburn,WA
3693,GearHead Pirates,Rogers High School,West Valley,Spokane,WA
3711,Iron Mustangs,Trout Lake School,Clackamus Academy,Oregon City,WA
3712,RoboCats,Union High School,West Valley,Spokane,OR
3781,Carnival 4-H Robotics,"Franklin-Pierce High School, WSU Pierce County 4-H",Auburn,Auburn,WA
3786,Chargers,Kentridge High School,Auburn Mountainview,Auburn,WA
3787,Wild Robotocats,WSU - Grays Harbor County 4-H,Auburn,Auburn,WA
3789,On Track Robotics,On Track Academy,West Valley,Spokane,WA
3812,Bits & Bots,Mark Morris High School,Lake Oswego,Lake Oswego,WA
3826,"Sequim Robotics Federation ""SRF""",Sequim Senior High,Mount Vernon,Mount Vernon,WA
3831,Da Bears,Brewster High School,Central WA University,Ellensburg,WA
3876,Mabton LugNutz,Mabton Jr Sr High School,Central WA University,Ellensburg,WA
4030,NullPointerException,Ingraham High School,Glacier Peak,Snohomish,WA
4043,NerdHerd,Mcminnville High School,Wilsonville,Wilsonville,OR
4051,Sabin-Sharks,Sabin-Schellenberg Center,Lake Oswego,Lake Oswego,OR
4057,STEAMPUNK - Klamath Basin Robotics,"Klamath Basin Robotics, The Triad School, Eagleridge High School, Klamath Union High School, Mazama High School, Neighborhood Group",Clackamus Academy,Oregon City,OR
4060,S.W.A.G,W F West High School,Auburn,Auburn,WA
4061,SciBorgs,4-H Palouse Area Robotics Team,West Valley,Spokane,WA
4077,M*A*S*H,Edmonds Woodway High School,Glacier Peak,Snohomish,WA
4082,Ranching Robots,Dayton High School,West Valley,Spokane,WA
4089,Stealth Robotics,Cedarcrest High School,Glacier Peak,Snohomish,WA
4104,Blackhawks,Cheney High School,West Valley,Spokane,WA
4110,DEEP SPACE NINERS,Brookings-Harbor High School,Wilsonville,Wilsonville,OR
4120,Jagwires,The Community School,West Valley,Spokane,WA
4125,Confidential,Umatilla High School,Central WA University,Ellensburg,OR
4127,LoggerBots,Vernonia High School,Lake Oswego,Lake Oswego,OR
4131,Iron Patriots,Liberty Sr High School,Auburn,Auburn,WA
4132,Scotbots,David Douglas High School,Lake Oswego,Lake Oswego,OR
4173,Bulldogs,Mount Vernon High School,Mount Vernon,Mount Vernon,WA
4180,Iron Raiders,Roosevelt High School,Glacier Peak,Snohomish,WA
4205,ROBOCUBS,Sedro Woolley Senior High School,Mount Vernon,Mount Vernon,WA
4309,4-h Botsmiths,Byte By Byte 4-H Tech Club,Glacier Peak,Snohomish,WA
4450,Olympia Robotics Federation,"Capital High School, Avanti High School, Olympia High School",Auburn,Auburn,WA
4461,Ramen,Mount Rainier High School,Auburn,Auburn,WA
4469,R.A.I.D (Raider Artificial Intelligence DIvision),Thomas Jefferson High School,Auburn,Auburn,WA
4488,Shockwave,Glencoe High School,Lake Oswego,Lake Oswego,OR
4495,Tigers,"Thorp Elem & Jr Sr High, Kittitas High School",Central WA University,Ellensburg,WA
4512,BEARbots,Cascade High School,Glacier Peak,Snohomish,WA
4513,Circuit Breakers,Medical Lake High School,West Valley,Spokane,WA
4579,RoboEagles,Federal Way Senior High School,Auburn,Auburn,WA
4608,Duct Tape Warriors,Tekoa High School,West Valley,Spokane,WA
4654,Mountaineers,Mount Baker Senior High,Mount Vernon,Mount Vernon,WA
4662,Byte Sized Robotics,Scappoose High School,Lake Oswego,Lake Oswego,OR
4681,Murphy's Law,Archbishop Murphy High School,Glacier Peak,Snohomish,WA
4682,Brave Bots,Bishop Blanchet High School,Glacier Peak,Snohomish,WA
4683,Full-metal Robotics,Lakewood High School,Mount Vernon,Mount Vernon,WA
4692,Metal Mallards,Toutle Lake High School,Lake Oswego,Lake Oswego,WA
4726,Robodynasty,Asotin Jr Sr High,West Valley,Spokane,WA
