1[2067,714,120,1735,4329,131,17,511,666,731]
4[292,41,1279,3735,6001,5013,5427,2585,5835,5960]
5[350,165,751,263,292,457,102,2585,1302,299]
6[382,104,995,97,256,2225,5229,2353,4145,2104]
7[168,421,1823,1617,4290,3741,3004,2879,28,181]
8[256,238,858,4255,2501,1302,2183,2353,5013,2221]
9[1748,1571,619,97,3180,2411,1895,3882,335,5229]
10[783,557,582,404,1048,905,660,2159,4021,5137]
11[399,66,303,2137,501,126,45,836,85,230]
13[992,940,875,5637,1883,5700,5064,212,2969,4103]
14[5887,6203,5254,6178,5402,4387,2436,6085,5460,3785]
15[508,221,3357,73,5074,3617,997,157,1421,1276]
16[111,2052,971,195,2054,1806,60,2363,469,968]
17[511,666,731,747,748,760,1074,1142,1192,1374]
18[1210,6188,5444,5705,3264,5666,2102,4594,1736,3695]
19[247,3193,501,8,2855,1351,623,2679,422,102]
20[121,316,45,1592,56,753,314,69,973,100]
21[615,31,2450,2357,4041,2496,2333,904,204,1178]
22[514,931,122,714,3083,65,1138,1111,68,226]
23[1510,1100,2538,95,1095,246,2239,120,1388,662]
24[4134,5005,650,1996,5544,1158,1447,953,5887,1688]
25[71,971,2451,1625,177,195,111,968,69,1126]
27[1577,78,79,1718,836,1868,2169,2016,340,3015]
28[1748,545,2914,9,181,2411,3882,4290,619,1512]
29[52,62,1059,608,1146,5620,5629,1562,2210,1851]
30[136,1237,1308,276,1644,1915,570,901,946,2186]
31[615,487,2172,397,204,2862,2908,2971,2608,2938]
33[1218,111,195,66,125,2363,1023,294,233,968]
34[245,353,115,365,501,781,291,1296,247,88]
35[158,416,471,407,414,1122,1204,1206,891,976]
37[145,1952,393,4466,5587,4730,5122,4239,4198,3679]
38[2612,1144,4516,4362,484,486,1647,2170,616,4561]
39[1950,330,1114,1986,71,67,1477,148,469,2481]
40[271,1775,176,1197,69,977,346,171,1801,2959]
41[2171,4,3735,292,181,1279,1512,3146,6001,5908]
42[519,268,466,338,30,9999,1502,546,471,6490]
45[85,314,176,171,121,316,294,4121,4215,175]
46[2884,3020,4713,4997,4666,3622,5987,1043,5800,2387]
47[173,144,126,1592,100,435,121,11,1747,1318]
48[3530,2522,3667,1257,2619,2642,2405,3598,250,476]
49[1502,2450,2357,9999,9998,4041,6490,199,1518,120]
51[86,5115,70,1706,133,2474,3393,1522,2252,2534]
52[62,29,608,1146,1542,1851,1059,2162,1963,1988]
53[581,1450,2577,1598,1584,1576,204,2912,3049,3323]
55[5666,6188,2102,161,410,2771,1736,5444,5705,4086]
